Data Information

Title: multiple
Data:  multiple

Data Type: ........... multivariate
Generalized Data Type: multivariate

Frequency Data: No
CrossTab Data:  No
Missing Values: No

Number of Observations = 198
Number of Variables    = 12

_________________________________

Data Listing

                     VARIABLES
                     most_active      second_active       third_active      fourth_active       fifth_active        dow_average       first_change      second_change       third_change      fourth_change       fifth_change         dow_change 
Obs25                 5232000000         4066000000         3896100000         5014900000          280000000         9641464000        10464000000         5671000000        14185800000        11218900000         3403106000       -14726951000
Obs26                -1765800000          535000000         2797200000         -620400000         -605800000        80096362000        -6997800000        -3531000000        -1098900000        -5635300000         -885800000        70454898000
Obs27                 5166600000         9630000000        11188800000        -2609600000         5014900000        39958138000         6932400000         9095000000         8391600000        -1989200000         5620700000       -40138224000
Obs28                 -392400000         -214000000         8791200000         4963200000         3331900000        24854036000        -5559000000        -9844000000        -2397600000         7572800000        -1683000000       -15104102000
Obs29                 2158200000         4601000000         4795200000        -1840700000         1177050000       -37458934000         2550600000         4815000000        -3996000000        -6803900000        -2154850000       -62312970000
Obs30                -5029000000        -4578000000        -8291700000        -4704700000         -559200000       112626420000        -7187200000        -9179000000       -13086900000        -2864000000        -1736250000       150085354000
Obs31                 8959800000        13161000000        11188800000         9409400000         3425100000         2724730000        13988800000        17739000000        19480500000        14114100000         3984300000      -109901690000
Obs32                 4512600000         2996000000        -1447600000        -4395600000          918000000        78575263000        -4447200000       -10165000000       -12636400000       -13805000000        -2507100000        75850533000
Obs33                 5493600000        10486000000        13086900000           93200000         6876100000       -24970525000          981000000         7490000000        14534500000         4488800000         5958100000      -103545788000
Obs34                -1373400000                  0        -1819000000         -675700000        -3896100000        14193679000        -6867000000       -10486000000       -14905900000         -768900000       -10772200000        39164204000
Obs35                 2354400000         2785685000         3852000000         2959100000        -3396600000        28383753000         3727800000         2785685000         5671000000         3634800000          499500000        14190074000
Obs36                -1765800000         2033000000          337421000         2897100000         2073700000       -33328970000        -4120200000         -752685000        -3514579000          -62000000         5470300000       -61712723000
Obs37                -5755200000        -2354000000          465300000                  0         -768900000         8434456000        -3989400000        -4387000000          127879000        -2897100000        -2842600000        41763426000
Obs38                  196200000        -2140000000        -2697300000         2119700000         1577247000       -50576016000         5951400000          214000000        -3162600000         2119700000         2346147000       -59010472000
Obs39                -4774200000        -7918000000        -5394600000         -517000000        -2889200000       -18685087000        -4970400000        -5778000000        -2697300000        -2636700000        -4466447000        31890929000
Obs40                -1765800000        -5885000000        -1809500000        -2997000000           61000000        32943761000         3008400000         2033000000         3585100000        -2480000000         2950200000        51628848000
Obs41                 3662400000         8988000000        -1398600000         1654400000         1006500000         6764346000         5428200000        14873000000          410900000         4651400000          945500000       -26179415000
Obs42                -1438800000        -5671000000         -499500000         -517000000         2390400000       -76971846000        -5101200000       -14659000000          899100000        -2171400000         1383900000       -83736192000
Obs43                -3989400000        -8025000000        -8220300000       -10089900000        -4214700000        34103928000        -2550600000        -2354000000        -7720800000        -9572900000        -6605100000       111075774000
Obs44                 1962000000         4066000000         5376800000          999000000          869700000       -12732712000         5951400000        12091000000        13597100000        11088900000         5084400000       -46836640000
Obs45                -4578000000        -8453000000        -2897100000          517000000          306033000        -2983593000        -6540000000       -12519000000        -8273900000         -482000000         -563667000         9749119000
Obs46                -1177200000          321000000         1395900000        -5394600000        -1421000000        47710104000         3400800000         8774000000         4293000000        -5911600000        -1727033000        50693697000
Obs47                  327000000         7704000000          740000000         6204000000         6193800000        20273742000         1504200000         7383000000         -655900000        11598600000         7614800000       -27436362000
Obs48                 1831200000         6741000000        -1198800000        -1912900000         1145662000       -46752505000         1504200000         -963000000        -1938800000        -8116900000        -5048138000       -67026247000
Obs49                 -719400000        -8774000000        -7496500000        -3496500000         -102011000       -53183551000        -2550600000       -15515000000        -6297700000        -1583600000        -1247673000        -6431046000
Obs50                -4316400000        -5350000000        -7292700000        -4446200000         -520700000        18561593000        -3597000000         3424000000          203800000         -949700000         -418689000        71745144000
Obs51                 2158200000        -5894100000         5457000000         -590364000         1085700000       -85223603000         6474600000         -544100000        12749700000         3855836000         1606400000      -103785196000
Obs52                -3858600000        -7383000000       -12187800000        -2870200000        -3825800000        23518964000        -6016800000        -1488900000       -17644800000        -2279836000        -4911500000       108742567000
Obs53                  392400000         2640000000         5457000000         1398600000         3153700000       -23271970000         4251000000        10023000000        17644800000         4268800000         6979500000       -46790934000
Obs54                 -261600000         2675000000        -3567300000        -1998000000                  0         -919419000         -654000000           35000000        -9024300000        -3396600000        -3153700000        22352551000
Obs55                -1308000000        -1391000000        -5014900000         1898100000          298186000        -8204477000        -1046400000        -4066000000        -1447600000         3896100000          298186000        -7285058000
Obs56                -3858600000        -7383000000         3722400000          499500000         -580000000        -3740676000        -2550600000        -5992000000         8737300000        -1398600000         -878186000         4463801000
Obs57                 2223600000         4387000000         2397600000        -1912900000        -1180000000         8039808000         6082200000        11770000000        -1324800000        -2412400000         -600000000        11780484000
Obs58                 4120200000          535000000                  0         -620400000        -2679500000         9364352000         1896600000        -3852000000        -2397600000         1292500000        -1499500000         1324544000
Obs59                -3204600000       -10989000000        -4815000000         7238000000         1328100000       -58898043000        -7324800000       -11524000000        -4815000000         7858400000         4007600000       -68262395000
Obs60                -2354400000        -7692300000        -4280000000         -223300000        -2533300000       -15416031000          850200000         3296700000          535000000        -7461300000        -3861400000        43482012000
Obs61                -2354400000        -5992000000         6393600000         3153700000         1220000000        94929262000                  0         1700300000        10673600000         3377000000         3753300000       110345293000
Obs62                 4054800000        10165000000        14285700000         5014900000         1001900000       -41419680000         6409200000        16157000000         7892100000         1861200000         -218100000      -136348942000
Obs63                -3073800000        -2675000000        -9290700000        -4084300000        -2943600000       -22018514000        -7128600000       -12840000000       -23576400000        -9099200000        -3945500000        19401166000
Obs64                -2943000000        -2675000000        -2297700000        -5635300000        -1240000000       -63140260000          130800000                  0         6993000000        -1551000000         1703600000       -41121746000
Obs65                -2877600000        -8667000000       -12187800000        -6414800000        -2688400000       -29718938000           65400000        -5992000000        -9890100000         -779500000        -1448400000        33421322000
Obs66                  588600000         1284000000       -10489500000        -6462500000          420000000          561301000         3466200000         9951000000         1698300000          -47700000         3108400000        30280239000
Obs67                -5362800000         1284000000          999000000         5635300000        -1260000000       -24759856000        -5951400000                  0        11488500000        12097800000        -1680000000       -25321157000
Obs68                 3008400000        -1284000000        -5394600000        -1160000000        -4911500000        78419294000         8371200000        -2568000000        -6393600000        -6795300000        -3651500000       103179150000
Obs69                 4512600000         9290700000        12733000000        10598500000          940000000        60843944000         1504200000        10574700000        18127600000        11758500000         5851500000       -17575350000
Obs70                 5362800000         2297700000         8132000000         8375400000         1460000000        39430001000          850200000        -6993000000        -4601000000        -2223100000          520000000       -21413943000
Obs71                 1111800000         5564000000         1498500000          723800000         1281500000        46984175000        -4251000000         3266300000        -6633500000        -7651600000         -178500000         7554174000
Obs72                 3793200000         5457000000         5790400000         6893100000          600000000       -30227158000         2681400000         -107000000         4291900000         6169300000         -681500000       -77211333000
Obs73                   65400000          107000000        -2397600000          465300000        -6814200000       -23568652000        -3727800000        -5350000000        -8188000000        -6427800000        -7414200000         6658506000
Obs74                   65400000        -8132000000         2843500000          -99900000        -1038000000        27451991000                  0        -8239000000         5241100000         -565200000         5776200000        51020643000
Obs75                 2889000000         1438800000        -3980900000          499500000          745465000        68934974000         2823600000         9570800000        -6824400000          599400000         1783465000        41482983000
Obs76                 7978800000         2889000000         9290700000         5531900000         3080000000         6610749000         5089800000         1450200000        13271600000         5032400000         2334535000       -62324225000
Obs77                 1700400000         1284000000         2526734000          599400000                  0        35288345000        -6278400000        -1605000000        -6763966000        -4932500000        -3080000000        28677596000
Obs78                 7128600000         9416000000         -258500000         -499500000         1349684000       -73692841000         5428200000         8132000000        -2785234000        -1098900000         1349684000      -108981186000
Obs79                -4708800000       -11342000000       -10789200000        -4239400000        -1040000000        53775903000       -11837400000       -20758000000       -10530700000        -3739900000        -2389684000       127468744000
Obs80                 5886000000         7704000000         4395600000         5221700000         5954100000       -43795663000        10594800000        19046000000        15184800000         9461100000         6994100000       -97571566000
Obs81                -2092800000        -7704000000        -5894100000        -3825800000         -396500000        -2596701000        -7978800000       -15408000000       -10289700000        -9047500000        -6350600000        41198962000
Obs82                -1962000000         -428000000         1551000000        -3496500000        -1806300000        18283000000          130800000         7276000000         7445100000          329300000        -1409800000        20879701000
Obs83                 2681400000         4815000000        -4995000000         2895200000        -5619200000        -3725743000         4643400000         5243000000        -6546000000         6391700000        -3812900000       -22008743000
Obs84                 1242600000         1498000000          499500000          258500000        -4415400000        58275304000        -1438800000        -3317000000         5494500000        -2636700000         1203800000        62001047000
Obs85                 7848000000         3103000000         7092900000         4653000000         1953903000       -23810150000         6605400000         1605000000         6593400000         4394500000         6369303000       -82085454000
Obs86                 -654000000        -3424000000                  0         1799500000        -3877500000        39441711000        -8502000000        -6527000000        -7092900000        -2853500000        -5831403000        63251861000
Obs87                  -65400000         4815000000          999000000         -793000000         2119700000         3525256000          588600000         8239000000          999000000        -2592500000         5997200000       -35916455000
Obs88                 4316400000          214000000        -2997000000        -2068000000        -1740000000       -36071086000         4381800000        -4601000000        -3996000000        -1275000000        -3859700000       -39596342000
Obs89                -1569600000         -963000000        -4895100000        -1180000000        -3877500000       -14744438000        -5886000000        -1177000000        -1898100000          888000000        -2137500000        21326648000
Obs90                -1438800000        -4815000000        -7392600000          368300000         2119700000       -49122637000          130800000        -3852000000        -2497500000         1548300000         5997200000       -34378199000
Obs91                -4054800000        -2714500000        -6527000000        -5294700000        -5997200000        -8801839000        -2616000000         2100500000          865600000        -5663000000        -8116900000        40320798000
Obs92                 1765800000       -11530400000         2247000000        -4495500000         1372500000         9571062000         5820600000        -8815900000         8774000000          799200000         7369700000        18372901000
Obs93                 3270000000         5992000000         1898100000        -4394500000         1806700000        28984794000         1504200000        17522400000         -348900000          101000000          434200000        19413732000
Obs94                 2223600000         5243000000         -999000000         1317624000         5893800000        24665904000        -1046400000         -749000000        -2897100000         5712124000         4087100000        -4318890000
Obs95                 2092800000          428000000         3496500000         3825800000          706230000       -42372120000         -130800000        -4815000000         4495500000         2508176000        -5187570000       -67038024000
Obs96                -3466200000        -5778000000        -4095900000          102011000        -7341400000         7751763000        -5559000000        -6206000000        -7592400000        -3723789000        -8047630000        50123883000
Obs97                -2586300000        -1046400000        -3745000000         5894100000         3205400000        60742486000          879900000         4731600000          350900000         5792089000        10546800000        52990723000
Obs98                 5951400000        -1258200000         8560000000         9890100000         1433500000        46806471000         8537700000         -211800000        12305000000         3996000000        -1771900000       -13936015000
Obs99                 5232000000        20179800000         2013000000         4601000000           69900000        -2940517000         -719400000        21438000000        -6547000000        -5289100000        -1363600000       -49746988000
Obs100                1569600000         4173000000        -1498500000          372800000         1647000000        24982426000        -3662400000       -16006800000        -3511500000        -4228200000         1577100000        27922943000
Obs101                2812200000          856000000         5894100000          466000000          457500000       -32919361000         1242600000        -3317000000         7392600000           93200000        -1189500000       -57901787000
Obs102               -2027400000        -3959000000        -1498500000        -1067500000        -5118300000        52688577000        -4839600000        -4815000000        -7392600000        -1533500000        -5575800000        85607938000
Obs103                2158200000         2568000000         4895100000         1910600000         5738700000       -21200144000         4185600000         6527000000         6393600000         2978100000        10857000000       -73888721000
Obs104               -2027400000        -3959000000        -1798200000        -1912900000         -209700000       -52837931000        -4185600000        -6527000000        -6693300000        -3823500000        -5948400000       -31637787000
Obs105               -5428200000        -5136000000        -7692300000         -457500000        -1912900000       -21551577000        -3400800000        -1177000000        -5894100000         1455400000        -1703200000        31286354000
Obs106               -3858600000        -3103000000         -537600000        -4295700000         3947100000        20537772000         1569600000         2033000000         7154700000        -3838200000         5860000000        42089349000
Obs107                1700400000         2140000000          199800000          671000000          469200000       -55764706000         5559000000         5243000000          737400000         4966700000        -3477900000       -76302478000
Obs108               -7194000000        -8560000000        -9390600000          774700000          209700000        43459327000        -8894400000       -10700000000        -9590400000          103700000         -259500000        99224033000
Obs109                 654000000         3210000000         7892100000         2860000000         5325100000       -34050779000         7848000000        11770000000        17282700000         2085300000         5115400000       -77510106000
Obs110               -5035800000        -7811000000        -1498500000        -3825800000         -466000000        34372704000        -5689800000       -11021000000        -9390600000        -6685800000        -5791100000        68423483000
Obs111                1962000000         2461000000         2097900000         2469800000         3257100000        15192772000         6997800000        10272000000         3596400000         6295600000         3723100000       -19179932000
Obs112                1438800000         4280000000         3896100000          -23300000        -2688400000       -20410702000         -523200000         1819000000         1798200000        -2493100000        -5945500000       -35603474000
Obs113               -1438800000        -4387000000        -1998000000          233000000         1809500000       -15098863000        -2877600000        -8667000000        -5894100000          256300000         4497900000         5311839000
Obs114               -1765800000        -6206000000        -3996000000         2676000000        -2120300000        56674322000         -327000000        -1819000000        -1998000000         2443000000        -3929800000        71773185000
Obs115                3466200000         7811000000         7592400000         3077400000         5790400000       -23334006000         5232000000        14017000000        11588400000          401400000         7910700000       -80008328000
Obs116               -1962000000         -711200000         -321000000        -4195800000         -183000000       -19536233000        -5428200000        -8522200000        -7913400000        -7273200000        -5973400000         3797773000
Obs117               -2681400000        -1605000000        -2297700000         -880000000         -427000000        -6387550000         -719400000         -893800000        -1976700000         3315800000         -244000000        13148683000
Obs118                 130800000         -749000000         -499500000         -827200000        -1320000000        12529866000         2812200000          856000000         1798200000           52800000         -893000000        18917416000
Obs119                -981000000        -2461000000          751100000         4601300000          999000000         3482103000        -1111800000        -1712000000         1250600000         5428500000         2319000000        -9047763000
Obs120                2289000000         5029000000          699300000          155100000          233000000        -4355631000         3270000000         7490000000          -51800000        -4446200000         -766000000        -7837734000
Obs121               -1569600000         1498000000        -3205400000         -699300000         -116500000       -15096023000        -3858600000        -3531000000        -3904700000         -854400000         -349500000       -10740392000
Obs122               -1308000000        -3424000000        -2697300000        -2429900000          209700000       -35124443000          261600000        -4922000000          508100000        -1730600000          326200000       -20028420000
Obs123               -1177200000        -1605000000        -4995000000        -3515600000        -4683000000         2392117000          130800000         1819000000        -2297700000        -1085700000        -4892700000        37516560000
Obs124               -4447200000        -1391000000         -299700000         -186400000         -802800000        -1006688000        -3270000000          214000000         4695300000         3329200000         3880200000        -3398805000
Obs125                -915600000        -5564000000                  0          206800000         1071800000        57399973000         3531600000        -4173000000          299700000          393200000         1874600000        58406661000
Obs126                4381800000         7490000000         8291700000         3360500000          360000000        -3981791000         5297400000        13054000000         8291700000         3153700000         -711800000       -61381764000
Obs127               -2656200000         -850200000         1070000000          499500000        -1240800000        54252381000        -7038000000        -8340200000        -7221700000        -2861000000        -1600800000        58234172000
Obs128                3139200000         4066000000          535900000         1015000000         3900000000        -8354732000         5795400000         4916200000         -534100000          515500000         5140800000       -62607113000
Obs129                -981000000         4708000000         -899100000         -675700000         1258600000       -30859879000        -4120200000          642000000        -1435000000        -1690700000        -2641400000       -22505147000
Obs130               -3204600000        -6099000000        -3496500000         -605800000         -211300000        39088293000        -2223600000       -10807000000        -2597400000           69900000        -1469900000        69948172000
Obs131                1177200000         5885000000          396100000         1398600000         2348500000        19261888000         4381800000        11984000000         3892600000         2004400000         2559800000       -19826405000
Obs132                2485200000         4387000000         2171400000          999000000         1799500000       -21068370000         1308000000        -1498000000         1775300000         -399600000         -549000000       -40330258000
Obs133               -3073800000         -749000000        -1098900000           93200000        -1464000000        24432609000        -5559000000        -5136000000        -3270300000         -905800000        -3263500000        45500979000
Obs134                1504200000         3424000000           99900000          163100000         3774100000       -48747722000         4578000000         4173000000         1198800000           69900000         5238100000       -73180331000
Obs135               -3858600000        -3959000000        -7292700000        -3360500000         -862100000       -29277660000        -5362800000        -7383000000        -7392600000        -3523600000        -4636200000        19470062000
Obs136               -1635000000        -5136000000        -4695300000        -1104900000          209700000       -23054885000         2223600000        -1177000000         2597400000         2255600000         1071800000         6222775000
Obs137               -7918000000        -3597000000          799200000         -163100000        -4221200000       -52581212000        -6283000000         1539000000         5494500000          941800000        -4430900000       -29526327000
Obs138                 130800000        -2889000000        -8191800000        -1584400000        -6152300000       -25521041000         8048800000          708000000        -8991000000        -1421300000        -1931100000        27060171000
Obs139                 261600000        -3103000000        -4995000000        -1292500000        -1420000000        11505550000          130800000         -214000000         3196800000          291900000         4732300000        37026591000
Obs140               -1561553000          915600000         1819000000         2997000000         5066600000       -73080490000        -1823153000         4018600000         6814000000         4289500000         6486600000       -84586040000
Obs141               -3858600000       -11556000000        -7292700000         -282492000        -6721000000       -17803659000        -2297047000       -12471600000        -9111700000        -3279492000       -11787600000        55276831000
Obs142                -749000000         2550600000                  0        -1344200000         -978600000         9943842000         3109600000        14106600000         7292700000        -1061708000         5742400000        27747501000
Obs143                -457800000        -4708000000        -4395600000         2742900000         1344200000        30164417000          291200000        -7258600000        -4395600000         4087100000         2322800000        20220575000
Obs144                4708800000         6313000000         1055600000         2297700000         2585000000       -66197099000         5166600000        11021000000         5451200000         -445200000         1240800000       -96361516000
Obs145               -5559000000       -10272000000        -4895100000        -7961100000         -582500000        43314203000       -10267800000       -16585000000        -5950700000       -10258800000        -3167500000       109511302000
Obs146                1765800000                  0         -213500000         6393600000         2326500000        15172515000         7324800000        10272000000         4681600000        14354700000         2909000000       -28141688000
Obs147                 850200000         3317000000         2897100000         1395900000          885400000       -10520116000         -915600000         3317000000         3110600000        -4997700000        -1441100000       -25692631000
Obs148                 457800000        -2568000000         -999000000        -1344200000         1372500000       -34604046000         -392400000        -5885000000        -3896100000        -2740100000          487100000       -24083930000
Obs149               -1242600000        -4708000000        -1998000000        -2326500000        -5619600000       -12550697000        -1700400000        -2140000000         -999000000         -982300000        -6992100000        22053349000
Obs150                -523200000         2996000000          -99900000          838800000        -2585000000       -38888629000          719400000         7704000000         1898100000         3165300000         3034600000       -26337932000
Obs151               -3139200000        -6848000000        -2997000000        -3567300000        -1647000000        16010118000        -2616000000        -9844000000        -2897100000        -4406100000          938000000        54898747000
Obs152                1308000000         2996000000          199800000         -310200000         -166000000       -32638694000         4447200000         9844000000         3196800000         3257100000         1481000000       -48648812000
Obs153                -327000000        -4494000000        -1498500000        -5945500000         -900000000       -25436268000        -1635000000        -7490000000        -1698300000        -5635300000         -734000000         7202426000
Obs154                -850200000         -535000000        -2497500000        -5346000000        -3257100000         8450395000         -523200000         3959000000         -999000000          599500000        -2357100000        33886663000
Obs155                1308000000         3103000000        -1098900000         2171400000        -2058400000        49527924000         2158200000         3638000000         1398600000         7517400000         1198700000        41077529000
Obs156                3073800000         5564000000         3896100000         3929200000         1647000000        18868122000         1765800000         2461000000         4995000000         1757800000         3705400000       -30659802000
Obs157                3638000000         2092800000         3696300000          -51700000          334500000        -9622756000          564200000        -3471200000         -199800000        -3980900000        -1312500000       -28490878000
Obs158               -1373400000        -3103000000         4295700000          620400000        -1328000000       -34213858000        -5011400000        -5195800000          599400000          672100000        -1662500000       -24591102000
Obs159                -784800000        -6741000000        -4083600000          499500000        -2585000000        21945534000          588600000        -3638000000        -8379300000         -120900000        -1257000000        56159392000
Obs160               -1635000000         3638000000          199200000         3496500000         1538700000       -39868754000         -850200000        10379000000         4282800000         2997000000         4123700000       -61814288000
Obs161               -3959000000         -915600000        -5294700000        -1584400000          298800000        50023419000        -2324000000        -4553600000        -5493900000        -5080900000        -1239900000        89892173000
Obs162                6955000000         2877600000         8191800000         1025200000         5014900000       -33157164000        10914000000         3793200000        13486500000         2609600000         4716100000       -83180583000
Obs163               -4922000000        -4331000000        -1831200000        -4795200000        -3257100000        11951107000       -11877000000        -7208600000       -10023000000        -5820400000        -8272000000        45108271000
Obs164               -3424000000         2092800000          152500000         4295700000          256300000         3917085000         1498000000         6423800000         1983700000         9090900000         3513400000        -8034022000
Obs165                1765800000         -428000000         1498500000         1189100000         -869700000       -38321414000         5189800000        -2520800000         1346000000        -3106600000        -1126000000       -42238499000
Obs166               -3073800000        -5136000000        -2997000000        -4136000000          468300000       -43021148000        -4839600000        -4708000000        -4495500000        -5325100000         1338000000        -4699734000
Obs167               -5457000000         -457800000        -3296700000        -4549600000        -1840700000        39036306000        -2383200000         4678200000         -299700000         -413600000        -2309000000        82057454000
Obs168                3959000000         2092800000         5494500000         3722400000         4616100000        -5180790000         9416000000         2550600000         8791200000         8272000000         6456800000       -44217096000
Obs169               -1308000000         1070000000         3496500000        -2923200000        -2016300000        60131790000        -5267000000        -1022800000        -1998000000        -6645600000        -6632400000        65312580000
Obs170                 981000000         6527000000         7992000000        -1380400000         5945500000       -31752752000         2289000000         5457000000         4495500000         1542800000         7961800000       -91884542000
Obs171                -130800000        -3852000000        -2997000000        -2068000000         -406000000       -17805278000        -1111800000       -10379000000       -10989000000         -687600000        -6351500000        13947474000
Obs172               -2782000000         -784800000        -3196800000        -2585000000        -1204200000        23767885000        -2651200000         3067200000         -199800000         -517000000         -798200000        41573163000
Obs173                6206000000         2354400000         5794200000          827200000        -3411900000        55919710000         8988000000         3139200000         8991000000         3412200000        -2207700000        32151825000
Obs174               10165000000         4774200000        -2135000000        10089900000         5997200000         3876178000         3959000000         2419800000        -7929200000         9262700000         9409100000       -52043532000
Obs175                1926000000        -1569600000         3996000000         1861200000          915000000       101847826000        -8239000000        -6343800000         6131000000        -8228700000        -5082200000        97971648000
Obs176               15087000000         6932400000        12687300000         3877500000         4014000000        12719445000        13161000000         8502000000         8691300000         2016300000         3099000000       -89128381000
Obs177                1605000000          523200000        -3633700000          999000000         2481600000        29368876000       -13482000000        -6409200000       -16321000000        -2878500000        -1532400000        16649431000
Obs178                3638000000         -719400000         5894100000         2895200000         1624000000        19854034000         2033000000        -1242600000         9527800000         1896200000         -857600000        -9514842000
Obs179                2461000000         2616000000          -99900000         3567300000         1421300000        37924779000        -1177000000         3335400000        -5994000000          672100000         -202700000        18070745000
Obs180               -1926000000         1504200000         7592400000         7082900000         1500000000       -39737191000        -4387000000        -1111800000         7692300000         3515600000           78700000       -77661970000
Obs181               -1700400000        -2782000000        -1198800000        -4549600000         2517200000        18336438000          225600000        -4286200000        -8791200000       -11632500000         1017200000        58073629000
Obs182               -1177000000          719400000         2497500000          549000000          982300000       -10703339000          523400000         3501400000         3696300000         5098600000        -1534900000       -29039777000
Obs183               -2247000000         -654000000        -3796200000          735900000          723800000        17921819000        -1070000000        -1373400000        -6293700000          186900000         -258500000        28625158000
Obs184                1070000000         -196200000         3896100000         -763600000           51700000        -1283439000         3317000000          457800000         7692300000        -1499500000         -672100000       -19205258000
Obs185                         0        -1308000000        -2197800000        -2375100000         -365200000        -2877602000        -1070000000        -1111800000        -6093900000        -1611500000         -416900000        -1594163000
Obs186                -428000000        -2419800000         -791700000          499500000         -775500000        22450716000         -428000000        -1111800000         1406100000         2874600000         -410300000        25328318000
Obs187               -1177000000          261600000         -406000000         5794200000         2888400000        36614041000         -749000000         2681400000          385700000         5294700000         3663900000        14163325000
Obs188                6634000000         3400800000          999000000         2943500000         3050300000       -21941921000         7811000000         3139200000         1405000000        -2850700000          161900000       -58555962000
Obs189               -2782000000         -327000000        -1421000000         2697300000        -4032600000        -3950328000        -9416000000        -3727800000        -2420000000         -246200000        -7082900000        17991593000
Obs190               -3793200000        -7169000000        -1522500000          599400000         1292500000       -64258707000        -1011200000        -6842000000         -101500000        -2097900000         5325100000       -60308379000
Obs191              -11342000000        -4578000000        -5794200000         1143000000        -6255700000        -1536391000        -7548800000         2591000000        -4271700000          543600000        -7548200000        62722316000
Obs192                2889000000        -1896600000        -1244400000         1177400000         1098900000       -45290597000        14231000000         2681400000         4549800000           34400000         7354600000       -43754206000
Obs193              -11128000000        -3073800000        -5794200000         -204000000         -406000000         1045750000       -14017000000        -1177200000        -4549800000        -1381400000        -1504900000        46336347000
Obs194               -1284000000          130800000          899100000         -302900000        -1522500000       -28490066000         9844000000         3204600000         6693300000          -98900000        -1116500000       -29535816000
Obs195               -7383000000        -3335400000         -299700000         1551000000          693600000        43001508000        -6099000000        -3466200000        -1198800000         1853900000         2216100000        71491574000
